CODMUNDV,NOMEMUN,X,Y
1504109,Magalhães Barata,-47.63515,-0.80942
1504208,Marabá,-50.01696,-5.6298
1504307,Maracanã,-47.496559999999995,-0.80248
1504406,Marapanim,-47.70897,-0.8406299999999999
1504422,Marituba,-48.319829999999996,-1.39749
1504455,Medicilândia,-53.195,-3.1602099999999997
1504505,Melgaço,-51.10386,-1.60763
1504604,Mocajuba,-49.46629,-2.57665
1504703,Moju,-49.074040000000004,-2.68391
1504752,Mojuí dos Campos,-54.57515,-3.07044
1504802,Monte Alegre,-54.35305,-1.0744
1504901,Muaná,-49.30925,-1.35568
1504950,Nova Esperança do Piriá,-46.89987,-2.39266
1504976,Nova Ipixuna,-49.23077,-4.98107
1505007,Nova Timboteua,-47.39215,-1.15644
1505031,Novo Progresso,-55.612030000000004,-8.06228
1505064,Novo Repartimento,-50.271609999999995,-4.50284
1505106,Óbidos,-55.67504,-0.16992000000000002
1505205,Oeiras do Pará,-49.90233,-2.2789200000000003
1505304,Oriximiná,-57.149919999999995,0.25509
1505403,Ourém,-47.13941,-1.49597
1505437,Ourilândia do Norte,-51.43094,-7.52055
1505486,Pacajá,-50.631679999999996,-3.68413
1505494,Palestina do Pará,-48.37018,-5.92727
1505502,Paragominas,-47.60317,-3.2034599999999998
1505536,Parauapebas,-50.48977,-6.151730000000001
1505551,Pau D'Arco,-50.12362,-7.73698
1505601,Peixe-Boi,-47.27198,-1.13071
1505635,Piçarra,-49.01177,-6.54103
1505650,Placas,-54.500659999999996,-3.88982
1505700,Ponta de Pedras,-49.07728,-1.11751
1505809,Portel,-50.95562,-2.56543
1505908,Porto de Moz,-52.54775,-2.18459
1506005,Prainha,-53.660169999999994,-2.12025
1506104,Primavera,-47.13147,-0.9526899999999999
1506112,Quatipuru,-47.01603,-0.85144
1506138,Redenção,-50.19812,-8.06933
1506161,Rio Maria,-49.895140000000005,-7.34063
1506187,Rondon do Pará,-48.46004,-4.51693
1506195,Rurópolis,-55.21074,-4.24104
1506203,Salinópolis,-47.34899,-0.6804
1506302,Salvaterra,-48.60922,-0.80138
1506351,Santa Bárbara do Pará,-48.25052,-1.19434
1506401,Santa Cruz do Arari,-49.31386,-0.58335
1506500,Santa Izabel do Pará,-48.12931,-1.36521
1506559,Santa Luzia do Pará,-46.92715,-1.6575
1506583,Santa Maria das Barreiras,-50.314370000000004,-8.63379
1506609,Santa Maria do Pará,-47.521640000000005,-1.37449
1506708,Santana do Araguaia,-50.61128,-9.36406
1506807,Santarém,-55.238459999999996,-2.6793400000000003
1506906,Santarém Novo,-47.33295,-0.9133399999999999
1507003,Santo Antônio do Tauá,-48.18277,-1.0932600000000001
1507102,São Caetano de Odivelas,-48.07878,-0.7912100000000001
1507151,São Domingos do Araguaia,-48.73059,-5.6576
1507201,São Domingos do Capim,-47.77175,-1.8838700000000002
1507300,São Félix do Xingu,-52.2527,-7.23336
1507409,São Francisco do Pará,-47.74686,-1.20597
1507458,São Geraldo do Araguaia,-48.74822,-6.18925
1507466,São João da Ponta,-47.96447,-0.8704700000000001
1507474,São João de Pirabas,-47.212070000000004,-0.78036
1507508,São João do Araguaia,-48.69679,-5.4473199999999995
1507607,São Miguel do Guamá,-47.61122,-1.55267
1507706,São Sebastião da Boa Vista,-49.680279999999996,-1.43412
1507755,Sapucaia,-49.56977,-6.838889999999999
1507805,Senador José Porfírio,-51.77385,-4.16971
1507904,Soure,-48.63714,-0.49278999999999995
1507953,Tailândia,-48.7367,-2.90785
1507961,Terra Alta,-47.84838,-1.00298
1507979,Terra Santa,-56.458369999999995,-1.95156
1508001,Tomé-Açu,-48.26763,-2.63613
1508035,Tracuateua,-46.93392,-1.02473
1508050,Trairão,-56.00346999999999,-5.13023
1508084,Tucumã,-51.39139,-6.8202
1508100,Tucuruí,-49.821020000000004,-3.8560199999999996
1508126,Ulianópolis,-47.49361,-3.8098400000000003
1508159,Uruará,-53.80734,-3.58362
1508209,Vigia,-48.13799,-0.88818
1508308,Viseu,-46.455059999999996,-1.53101
1508357,Vitória do Xingu,-51.97397,-3.1352700000000002
1508407,Xinguara,-49.63527,-6.9177800000000005
1600105,Amapá,-50.58105,1.7656
1600204,Calçoene,-51.4038,2.43133
1600212,Cutias,-50.487109999999994,1.03554
1600238,Ferreira Gomes,-51.41735,0.9571
1600253,Itaubal,-50.64025,0.5383899999999999
1600279,Laranjal do Jari,-53.31055,1.1013600000000001
1600303,Macapá,-50.7016,0.5546399999999999
1600402,Mazagão,-51.951190000000004,-0.06684
1600501,Oiapoque,-51.90464,3.08926
1600154,Pedra Branca do Amapari,-52.519330000000004,1.15749
1600535,Porto Grande,-51.669940000000004,0.5855199999999999
1600550,Pracuúba,-51.278529999999996,1.62581
1600600,Santana,-51.37826,0.12972999999999998
1600055,Serra do Navio,-52.26814,1.65175
1600709,Tartarugalzinho,-50.99262,1.29758
1600808,Vitória do Jari,-52.06118,-0.99644
1700251,Abreulândia,-49.30989,-9.480410000000001
1700301,Aguiarnópolis,-47.51339,-6.48765
1700350,Aliança do Tocantins,-48.908190000000005,-11.33217
1700400,Almas,-47.210409999999996,-11.430060000000001
1700707,Alvorada,-49.11291,-12.408489999999999
1701002,Ananás,-48.18698,-6.232419999999999
1701051,Angico,-47.91295,-6.43561
1701101,Aparecida do Rio Negro,-48.000690000000006,-9.98789
1701309,Aragominas,-48.63306,-6.9461699999999995
1701903,Araguacema,-49.5048,-8.93949
1702000,Araguaçu,-49.69635,-12.84115
1702109,Araguaína,-48.58784,-7.33167
1702158,Araguanã,-48.52527,-6.79098
1702208,Araguatins,-48.10584,-5.66557
1702307,Arapoema,-48.99984,-7.7233
1702406,Arraias,-47.04786,-12.818660000000001
1702554,Augustinópolis,-47.92907,-5.4981800000000005
1702703,Aurora do Tocantins,-46.418690000000005,-12.64237
1702901,Axixá do Tocantins,-47.76638,-5.64564
1703008,Babaçulândia,-47.85577,-7.174860000000001
1703057,Bandeirantes do Tocantins,-48.67559,-7.90373
1703073,Barra do Ouro,-47.57855,-7.7174
